                           TEXT FILE ANALYSIS REPORT
                           Generated: 2025-03-26 11:59:16
Folder: /Users/muzammilmohammad/Desktop/CA chatbot/cleaned_data_1

+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------+------------------------------+----------------------------------+--------------------------------------+
| FILENAME                                                                                                                                                |    LINES |    WORDS | CHARS (TOTAL) | CHARS (NO SPACES) |
| www.incometax.gov.in_iec_foportal_help_register-for-efiling-external-agency-banks.txt                                                                   |      598 |    10022 |        72728 |            62981 |
| incometaxindia.gov.in_Pages_tax-services_online-26AS-traces.aspx.txt                                                                                    |      871 |     9208 |        69081 |            60216 |
| incometaxindia.gov.in_Pages_utilities_Eligible-Business.aspx.txt                                                                                        |     1081 |    13689 |       100649 |            87402 |
| incometaxindia.gov.in_Pages_i-am_aop.aspx?k=Tax%20Payment.txt                                                                                           |     1005 |    11768 |        87539 |            76215 |
| incometaxindia.gov.in_Pages_tutorials.aspx?c=16.txt                                                                                                     |     1148 |    16272 |       116472 |           100681 |
| incometaxindia.gov.in_Pages_ids_tamil-cca.aspx.txt                                                                                                      |      858 |     7918 |        61085 |            53423 |
| incometaxindia.gov.in_Pages_right-to-information_proactive-disclosure.aspx.txt                                                                          |     1045 |    26495 |       180517 |           154491 |
| incometaxindia.gov.in_Pages_tps_default.aspx.txt                                                                                                        |     1871 |    13980 |       104829 |            91554 |
| incometaxindia.gov.in_Pages_tax-audit-glossary.aspx.txt                                                                                                 |     1050 |    27569 |       185911 |           158788 |
| incometaxindia.gov.in_Pages_i-am_domestic-company.aspx?k=Tax%20Payment.txt                                                                              |     1179 |    16959 |       121952 |           105543 |
| incometaxindia.gov.in_Pages_tax-glossary.aspx.txt                                                                                                       |     1028 |    22236 |       152484 |           130676 |
| incometaxindia.gov.in_Pages_important-links.aspx.txt                                                                                                    |      927 |     9543 |        74737 |            65580 |
| www.incometax.gov.in_iec_foportal_help_foreigncompany_how-to-file-tax-returns.txt                                                                       |      597 |     9109 |        66536 |            57700 |
| www.incometax.gov.in_iec_foportal_help_FileITR-2Online.txt                                                                                              |     2296 |    27292 |       172628 |           147047 |
| incometaxindia.gov.in_Pages_faqs.aspx?k=General+FAQs&c=7.txt                                                                                            |     1062 |    12487 |        92062 |            80012 |
| incometaxindia.gov.in_Pages_utilities_Notified-Scientific-Research.aspx.txt                                                                             |     1128 |    16826 |       127199 |           110767 |
| www.incometax.gov.in_iec_foportal_help_statutory-forms_popular-form_form10id-faq.txt                                                                    |      605 |    12640 |        86550 |            74192 |
| incometaxindia.gov.in_Pages_downloads_other-forms.aspx.txt                                                                                              |     1098 |    23783 |       167058 |           143668 |
| incometaxindia.gov.in_Pages_faqs.aspx?k=FAQs+on+intimation+under+section+143&c=4.txt                                                                    |     1062 |    12519 |        92254 |            80172 |
| incometaxindia.gov.in_Pages_subscribe.aspx.txt                                                                                                          |     1038 |    14138 |       101942 |            88265 |
| incometaxindia.gov.in_Pages_faqs.aspx?k=FAQs%20on%20Computation%20of%20tax.txt                                                                          |     1062 |    12863 |        94757 |            82332 |
| www.incometax.gov.in_iec_foportal_help_ca_keylinks.txt                                                                                                  |      595 |     8670 |        63769 |            55357 |
| incometaxindia.gov.in_Pages_tutorials.aspx?c=2.txt                                                                                                      |     1148 |    16248 |       116263 |           100496 |
| www.incometax.gov.in_iec_foportal_help_firm-llp_how-to-file-tax-returns.txt                                                                             |      601 |     9197 |        67249 |            58327 |
| incometaxindia.gov.in_Pages_utilities_index.aspx?c=13.txt                                                                                               |     1093 |    15144 |       112150 |            97504 |
| www.incometax.gov.in_iec_foportal_help_all-topics_statutory-forms_popular-form_form26q-faq.txt                                                          |      639 |     9399 |        69164 |            60056 |
| incometaxindia.gov.in_Pages_faqs.aspx?k=FAQs%20on%20Tax%20Deducted%20at%20Source(TDS).txt                                                               |     1062 |    12863 |        94741 |            82308 |
| incometaxindia.gov.in_Pages_acts_income-tax-act.aspx.txt                                                                                                |     1255 |    45702 |       322165 |           276958 |
| incometaxindia.gov.in_Pages_downloads_income-tax-return.aspx?c=4.txt                                                                                    |     1086 |    13859 |        99995 |            86606 |
| www.incometax.gov.in_iec_foportal_help_all-topics_e-filing-services_managing-partners_perform-partner-specific-services_um.txt                          |      593 |     8944 |        65633 |            56959 |
| www.incometax.gov.in_iec_foportal_help_tax-payment-debit-card-authorized-bank.txt                                                                       |      731 |    12441 |        86113 |            74045 |
| incometaxindia.gov.in_Pages_faceless-scheme.aspx.txt                                                                                                    |      907 |     9351 |        73436 |            64454 |
| incometaxindia.gov.in_Pages_charts-and-tables.aspx?c=0.txt                                                                                              |     1137 |    17777 |       127124 |           109828 |
| incometaxindia.gov.in_Pages_ids_bihar-jharkhand-cca.aspx.txt                                                                                            |      858 |     7849 |        60204 |            52611 |
| incometaxindia.gov.in_Pages_default.aspx.txt                                                                                                            |     1075 |    20216 |       141758 |           121806 |
| incometaxindia.gov.in_Pages_tax-services_request-for-rectification.aspx.txt                                                                             |      886 |    10630 |        78760 |            68451 |
| incometaxindia.gov.in_Pages_utilities_index.aspx?c=4.txt                                                                                                |     1093 |    15144 |       112150 |            97504 |
| www.incometax.gov.in_iec_foportal_help_all-topics_statutory-forms_all-forms.txt                                                                         |      743 |    14073 |        96856 |            83122 |
| incometaxindia.gov.in_Pages_faqs.aspx?k=FAQs+on+interest+under+section+234A%2c+234B%2c+234C+and+234D&c=3.txt                                            |     1062 |    12551 |        92414 |            80300 |
| www.incometax.gov.in_iec_foportal_help_respond-to-outstanding-demand-faq.txt                                                                            |      637 |    16461 |       108740 |            92593 |
| incometaxindia.gov.in_Pages_tutorials.aspx.txt                                                                                                          |     1148 |    16895 |       122487 |           106074 |
| www.incometax.gov.in_iec_foportal_help_generate-challan-form.txt                                                                                        |     2078 |    28178 |       180528 |           154010 |
| incometaxindia.gov.in_Pages_faqs.aspx?k=FAQs+on+Direct+Tax+Vivad+Se+Vishwas+Act%2c+2020&c=16.txt                                                        |     1059 |    12414 |        91685 |            79721 |
| www.incometax.gov.in_iec_foportal_help_all-topics_e-filing-services_filing-your-return.txt                                                              |     1148 |    11673 |        86378 |            75139 |
| incometaxindia.gov.in_Pages_faqs.aspx?k=FAQs+on+interest+under+section+234A%2c+234B%2c+234C+and+234D&c=2.txt                                            |     1062 |    12551 |        92406 |            80292 |
| www.incometax.gov.in_iec_foportal_help_all-topics_tax-payer_individual_business-professional_returns-forms-applicable-to-me.txt                         |      593 |     9087 |        66216 |            57399 |
| incometaxindia.gov.in_Pages_keyboard-Shortcut-keys.aspx.txt                                                                                             |     1074 |    15253 |       109888 |            95124 |
| www.incometax.gov.in_iec_foportal_help_all-topics_tax-payer_individual_business-professional_tax-slabs-for-me.txt                                       |      593 |     9043 |        65886 |            57113 |
| incometaxindia.gov.in_Pages_downloads_other-forms.aspx?c=16.txt                                                                                         |     1090 |    17153 |       121437 |           104577 |
| incometaxindia.gov.in_Pages_tax-services_response-to-outstanding-tax-demand.aspx.txt                                                                    |      895 |    10651 |        78234 |            67931 |
| incometaxindia.gov.in_Pages_Budget-2025.aspx.txt                                                                                                        |      875 |     8270 |        64761 |            56843 |
| incometaxindia.gov.in_Pages_charts-and-tables.aspx?c=1.txt                                                                                              |     1136 |    17760 |       126923 |           109644 |
| incometaxindia.gov.in_Pages_tax-services_consolidated-statement-file.aspx.txt                                                                           |      873 |     9358 |        71603 |            62590 |
| incometaxindia.gov.in_Pages_faqs.aspx?k=FAQs%20on%20TAN.txt                                                                                             |     1062 |    12847 |        94637 |            82228 |
| incometaxindia.gov.in_Pages_charts-and-tables.aspx?c=16.txt                                                                                             |     1136 |    17760 |       126923 |           109644 |
| incometaxindia.gov.in_Pages_faqs.aspx.txt                                                                                                               |     1146 |    14215 |       104899 |            91182 |
| incometaxindia.gov.in_Pages_ids_odisha-cca.aspx.txt                                                                                                     |      854 |     7720 |        58965 |            51501 |
| incometaxindia.gov.in_Pages_downloads_income-tax-return.aspx?c=5.txt                                                                                    |     1092 |    14036 |       101005 |            87444 |
| incometaxindia.gov.in_Pages_faqs.aspx?k=FAQs%20on%20filing%20the%20return%20of%20income.txt                                                             |     1062 |    12879 |        94829 |            82388 |
| incometaxindia.gov.in_Pages_tax-services_status-of-tax-refund.aspx.txt                                                                                  |      882 |    10001 |        74066 |            64365 |
| www.incometax.gov.in_iec_foportal_help_e-filing-manage-tax-credit-mismatch-faq.txt                                                                      |      617 |     9161 |        66531 |            57651 |
| www.incometax.gov.in_iec_foportal_help_all-topics_e-filing-services_working-with-payments.txt                                                           |      905 |    10417 |        77662 |            67607 |
| www.incometax.gov.in_iec_foportal_help_raise-e-filing-service-requests-faq.txt                                                                          |      630 |    10663 |        75231 |            64861 |
| incometaxindia.gov.in_Pages_tax-services_view-e-filed-returns.aspx.txt                                                                                  |      884 |     8889 |        67853 |            59287 |
| www.incometax.gov.in_iec_foportal_help_e-filing-use-dashboard-and-worklist-external-agency.txt                                                          |      750 |    11135 |        78880 |            68144 |
| incometaxindia.gov.in_Pages_faqs.aspx?k=FAQs+on+intimation+under+section+143&c=13.txt                                                                   |     1062 |    12519 |        92246 |            80164 |
| incometaxindia.gov.in_Pages_utilities_Interest-Other-Than-On-Securities.aspx.txt                                                                        |     1113 |    15761 |       113605 |            98234 |
| www.incometax.gov.in_iec_foportal_help_ChallanCorrectionRequest-FAQ.txt                                                                                 |      716 |     9807 |        70279 |            60859 |
| incometaxindia.gov.in_Pages_accessibility-statement.aspx.txt                                                                                            |     1059 |    16932 |       119897 |           103424 |
| www.incometax.gov.in_iec_foportal_help_all-topics_videos.txt                                                                                            |      754 |    10567 |        76415 |            66174 |
| www.incometax.gov.in_iec_foportal_help_tds-on-cash-withdrawal-us-194n.txt                                                                               |      692 |    11245 |        79286 |            68387 |
| incometaxindia.gov.in_Pages_charts-and-tables.aspx?c=3.txt                                                                                              |     1136 |    17760 |       126923 |           109644 |
| incometaxindia.gov.in_Pages_tax-your-brain.aspx.txt                                                                                                     |     1061 |    13492 |        97096 |            84080 |
